"[1, 1]","[19, 19]","[391825, 340367, 286457, 661741, 108335]","[391825, 340367, 661741, 286457, 108335]",22,"[340367, 286457, 661741, 391825, 108335]",50
"[1, 1]","[19, 19]","[219130, 365285, 364695]","[219130, 365285, 364695]",26,"[364695, 219130, 365285]",52
"[1, 1]","[19, 19]","[98888, 422465, 379019]","[98888, 379019, 422465]",16,"[422465, 379019, 98888]",40
"[1, 1]","[19, 19]","[397889, 386850, 287261, 352109, 380489]","[397889, 386850, 352109, 380489, 287261]",6,"[287261, 380489, 397889, 386850, 352109]",36
"[1, 1]","[19, 19]","[111873, 281610, 258540, 198029, 366109, 342706, 286457, 254489, 76283, 287261]","[198029, 281610, 366109, 76283, 111873, 342706, 287261, 254489, 258540, 286457]",16,"[254489, 111873, 342706, 287261, 258540, 286457, 281610, 366109, 76283, 198029]",44
"[1, 1]","[19, 19]","[381992, 89769, 284905, 383599]","[89769, 381992, 383599, 284905]",14,"[284905, 381992, 383599, 89769]",46
"[1, 1]","[19, 19]","[284251, 780493, 140817, 226774, 191515, 327710]","[284251, 140817, 191515, 327710, 226774, 780493]",12,"[284251, 140817, 191515, 327710, 226774, 780493]",44
"[1, 1]","[19, 19]","[16643, 123462, 660999, 661002, 188598, 119063, 128827, 323836]","[660999, 661002, 128827, 16643, 123462, 119063, 188598, 323836]",26,"[660999, 661002, 128827, 16643, 123462, 119063, 188598, 323836]",56
"[1, 1]","[19, 19]","[208299, 8140, 181202, 328595, 296188, 276157]","[208299, 8140, 296188, 276157, 181202, 328595]",18,"[328595, 181202, 8140, 296188, 276157, 208299]",48
"[1, 1]","[19, 19]","[391680, 384900, 365797, 226774, 103313, 97077, 117900, 332555, 479020, 769581, 227534, 396879, 68048, 188856, 208660, 736830, 1372184, 105912, 372539, 427230, 736831]","[479020, 769581, 1372184, 97077, 427230, 391680, 117900, 396879, 188856, 372539, 208660, 226774, 103313, 332555, 227534, 105912, 384900, 68048, 736830, 736831, 365797]",38,"[479020, 769581, 1372184, 97077, 427230, 391680, 117900, 396879, 188856, 372539, 208660, 226774, 103313, 332555, 227534, 105912, 384900, 68048, 736830, 736831, 365797]",38
